Name,Owner,Category,District,Province
"27. Ngaone ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"28. Silverstream ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"29. Clearwater ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"30. Arda Middle Save ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"31. Takawira ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"32. Jersey ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"33. New Year’s Gift ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"34. Rattleshoek ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"35. Zona ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"36. Southdown ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"37. Checheche ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"38. Smaldale ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"39. Musani ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"40. Tuzuka ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"41. Maparadze ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"42. Chisuma ","RDC ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"43. Tongogara ","Refugee Camp ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"44. Chipinge ","Town council ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"45. Tamandai ","Pvt. ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"46. Mt. Selinda ","Mission ","Rural Hosp. ","Chipinge District ","MANICALAND PROVINCE "
"47. Arda Chisumbanje ","Commercial ","Clinic ","Chipinge District ","MANICALAND PROVINCE "
"1. Rusape ","Govt. ","District Hosp.  ","Makoni District ","MANICALAND PROVINCE "
"2. Bamba ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"3. Chikobvore ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"4. Chinhenga ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"5. Chinyika I ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"6. Chinyika II ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"7. Chinyudze ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"8. Gowakowa ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"9. Katsenga ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"10. Maparura ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"11. Masvosva ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"12. Matotwe ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"13. Mayo I ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"14. Mayo II ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"15. Nyahukwe ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"16. Nyahove ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"17. Nyamukamani ","Govt. ","RHC ","Makoni District ","MANICALAND PROVINCE "
"18. Makoni ","Govt. ","Rural Hosp. ","Makoni District ","MANICALAND PROVINCE "
"19. Weya ","Govt. ","Rural Hosp. ","Makoni District ","MANICALAND PROVINCE "
"20. Nyamidzi ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"21. Rukweza ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"22. Era Mine ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"23. Mubvurungwa ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"24. Chiduku  ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"25. Chikore ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"26. Dowa ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"27. Matsika ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"28. Mukamba ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"29. Tandi ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"30. Toriro ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"31. Tsanzaguru ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"32. Dumbamwe ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"33. Vengere ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"34. Headlands ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"35. Nyazura ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"36. St. Micheals ","Mission ","Rural Hosp. ","Makoni District ","MANICALAND PROVINCE "
"37. St. Theresa ","Mission ","Rural hosp. ","Makoni District ","MANICALAND PROVINCE "
"38. Anoldine ","Mission ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"39. Chinyadza ","Mission ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"40. Nyazura ","Mission ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"41. Inyathi Mine Clinic ","ZRP ","","Makoni District ","MANICALAND PROVINCE "
"42. Ringanai ","RDC ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"43. Mavhudzi  ","Govt. ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"44. Gorubi ","Govt. ","Clinic ","Makoni District ","MANICALAND PROVINCE "
"1. Mutare ","Govt. ","Provincial hosp. ","Mutare  District ","MANICALAND PROVINCE "
"2. Marange ","Govt. ","Rural hosp. ","Mutare  District ","MANICALAND PROVINCE "
"3. Mt. Zuma  ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"4. Guturare ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"5. Gwindingwi ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"6. Muromo ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"7. Nyamazura ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"8. Nyagundi ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"9. Chiadzwa ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"10. Chiwere ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"11. Zvipiripiri ","RDC. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"12. Bazerly ","RDC. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"13. Burma Valley ","RDC ","RHc ","Mutare  District ","MANICALAND PROVINCE "
"14. Bakorenhema ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"15. Chitakatira ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"16. Chitaka ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"17. Chipfatsura ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"18. Mambwere ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"19. Mukwanda ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"20. Nzvenga ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"21. Masasi ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"22. Mushunje ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"23. Odzi  ","RDC ","Rural hosp. ","Mutare  District ","MANICALAND PROVINCE "
"24. Zimunya ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"25. Zumbare ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"26. Rowa ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"27. Chikwariro ","Mission ","Rural hosp. ","Mutare  District ","MANICALAND PROVINCE "
"28. St. Andrews  ","Mission ","Rural Hosp. ","Mutare  District ","MANICALAND PROVINCE "
"29. St. Joseph (TB) ","Mission ","Rural hosp. ","Mutare  District ","MANICALAND PROVINCE "
"30. Vumba ","Commercial ","Clinic ","Mutare  District ","MANICALAND PROVINCE "
"31. Sakubva ","Govt. ","District hosp. ","Mutare  District ","MANICALAND PROVINCE "
"32. Mavhiza ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"33. Dora ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"34. Chapendeka ","Govt. ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"35. Chishingwi ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"36. Bwizi ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"37. Mutanda ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"38. Chitora ","RDC ","RHC ","Mutare  District ","MANICALAND PROVINCE "
"1. Hauna ","Govt. ","District Hosp. ","Mutasa District ","MANICALAND PROVINCE "
"2. Tsonzo ","Govt. ","Rural Hosp. ","Mutasa District ","MANICALAND PROVINCE "
"3. Sherukuru ","Govt. ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"4. Gavhanga ","Govt. ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"5. Rupinda ","Govt. ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"6. Old Mutare ","Mission ","Rural hosp. ","Mutasa District ","MANICALAND PROVINCE "
"7. Bonda ","Mission ","Rural hosp. ","Mutasa District ","MANICALAND PROVINCE "
"8. St. Augustines ","Mission ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"9. St. Barbaras ","Mission ","Rural hosp. ","Mutasa District ","MANICALAND PROVINCE "
"10. Triashill ","Mission ","Rural hosp. ","Mutasa District ","MANICALAND PROVINCE "
"11. Gatsi ","Mission ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"12. Honde ","Mission ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"13. Mutasa ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"14. Mandeya II ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"15. Sachisuko ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"16. Sagambe ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"17. Mapara ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"18. Rumbidzai ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"19. Hauna ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"20. Sadziwa  ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"21. Ngarura ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"22. Sahumani ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"23. Mupotedzi ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"24. Samanga ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"25. Sakupwanya ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"26. Guta ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"27. Moyoweshumba ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"28. Zongororo ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"29. Mt. Jenya ","RDC ","RHC ","Mutasa District ","MANICALAND PROVINCE "
"30. Drenan ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"31. Sheba ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"32. Redwing ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"33. Imbeza ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"34. FITC ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"35. Stapleford ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"36. Aberfoyle ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"37. Selborne ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"38. Katiyo ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"39. EHTE ","Commercial ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"40. St. Peters ","Mission ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"41. Hauna ","RDC ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"42. Chingamwe ","RDC ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"43. Jombe ","RDC ","Clinic ","Mutasa District ","MANICALAND PROVINCE "
"1. Nyanga ","Govt. ","District Hosp. ","Nyanga District ","MANICALAND PROVINCE "
"2. Dombo ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"3. Gairezi ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"4. Gotekote ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"5. Matize ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"6. Nyarumvurwe ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"7. Nyautare ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"8. Ruchera ","Govt. ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"9. Regina Coeli ","Mission ","Rural hosp. ","Nyanga District ","MANICALAND PROVINCE "
"10. Mt. Mellery ","Mission ","Rural Hosp. ","Nyanga District ","MANICALAND PROVINCE "
"11. Avilla  ","Mission ","Rural hosp. ","Nyanga District ","MANICALAND PROVINCE "
"12. Elim ","Mission ","Rural hosp. ","Nyanga District ","MANICALAND PROVINCE "
"13. Nyamombe ","Mission ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"14. Chatindo ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"15. Fombe ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"16. Nyadowa ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"17. Nyafaru ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"18. Nyamaropa ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"19. Nyatate ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"20. Tombo ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"21. Sabvura ","RDC ","RHC ","Nyanga District ","MANICALAND PROVINCE "
"22. Erin Forest ","Commercial ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"23. Nyangui Forest ","Commercial ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"24. Chiwarira ","RDC ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"25. Kambudzi ","RDC ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"26. Chimusasa ","RDC ","Clinic ","Nyanga District ","MANICALAND PROVINCE "
"27. Mobile Clinic clinic ","RDC ","","Nyanga District ","MANICALAND PROVINCE "
"1. Dangamvura ","Municipality ","Polyclinic ","Mutare City ","MANICALAND PROVINCE "
"2. Chikanga ","Municipality ","Clinic ","Mutare City ","MANICALAND PROVINCE "
"3. Florida ","Municipality ","Clinic ","Mutare City ","MANICALAND PROVINCE "
"4. Fern Valley ","Municipality ","Clinic ","Mutare City ","MANICALAND PROVINCE "
"5. Mutare ","Municipality ","Clinic ","Mutare City ","MANICALAND PROVINCE "
"6. Sakubva ","Municipality ","Polyclinic ","Mutare City ","MANICALAND PROVINCE "
"1. Bikita ","Govt. ","Rural hosp. ","Bikita District ","MASVINGO PROVINCE "
"2. Chikuku ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"3. Marozva ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"4. Mashoko ","Mission ","Rural hosp. ","Bikita District ","MASVINGO PROVINCE "
"5. Silveira ","Mission ","Rural Hosp. ","Bikita District ","MASVINGO PROVINCE "
"6. Nyika ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"7. Pfupajena ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"8. Mkanga ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"9. Dewure I ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"10. Dewure II ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"11. Mukore ","Govt. ","RHC ","Bikita District ","MASVINGO PROVINCE "
"12. Mungezi ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"13. Negovano ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"14. Odzi ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"15. Hozvi ","RDC ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"16. Bikita Minerals ","Mine ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"17. Chitasa ","RDC ","clinic ","Bikita District ","MASVINGO PROVINCE "
"18. Ngorima ","Govt. ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"19.  Chirorwe ","Govt. ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"20. Mutikizizi ","RDC ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"21. Gangare ","RDC ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"22. Gava ","RDC ","Clinic ","Bikita District ","MASVINGO PROVINCE "
"23. Murwira ","RDC ","RHC ","Bikita District ","MASVINGO PROVINCE "
"1. Chiredzi ","Govt. ","District Hosp. ","Chiredzi District ","MASVINGO PROVINCE "
"2. Chikombedzi ","Mission ","Rural hosp. ","Chiredzi District ","MASVINGO PROVINCE "
"3.Collin Saunders ","Pvt. ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"4. Muteyo ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"5. Chizvirizvi ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"6. Nyangambe ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"7. Chambuta ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"8. Chilonga ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"9. Mhlanguleni ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"10. Old Boli ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"11. Malipati ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"12. Gezani ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"13. Davata ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"14. Samu ","Govt. ","RHC ","Chiredzi District ","MASVINGO PROVINCE "
"15. Chitsa ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"16. Rupangwana ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"17. St. Jospeth ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"18. Pore-pore ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"19. Chipiwa ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"20. Chibwedziva ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"21. Makande ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"22. Rutandare ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"23. Dunisa ","RDC ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"24. Chingele ","Mission ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"25. Damarakanaka ","Mission ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"26. Tshovani ","Town council ","Polyclinic ","Chiredzi District ","MASVINGO PROVINCE "
"27. Hippo Valley ","Commercial ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"28. ZRP ","ZRP ","clinic ","Chiredzi District ","MASVINGO PROVINCE "
"29. Mkwasine ","Commercial ","clinic ","Chiredzi District ","MASVINGO PROVINCE "
"30. NRZ ","Industry ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"31. Pahlela ","Pvt. ","clinic ","Chiredzi District ","MASVINGO PROVINCE "
"32. ZSA ","Pvt. ","Clinic ","Chiredzi District ","MASVINGO PROVINCE "
"33. Triangle  ","Pvt. ","Hospital ","Chiredzi District ","MASVINGO PROVINCE "
"1. Chivi ","Govt. ","District hosp. ","Chivi District ","MASVINGO PROVINCE "
"2. Chivi ","Govt. ","Rural Hosp. ","Chivi District ","MASVINGO PROVINCE "
"3. Berejena ","Mission ","Clinic ","Chivi District ","MASVINGO PROVINCE "
"4. Chigwikwi ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"5. Mhandamabwe ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"6. Ngundu ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"7. Razi ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"8. Takavarasha ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"9. Nyahombe ","Govt. ","RHC ","Chivi District ","MASVINGO PROVINCE "
"10. Chifedza ","RDC ","RHC ","Chivi District ","MASVINGO PROVINCE "
"11. Davira ","RDC ","RHC ","Chivi District ","MASVINGO PROVINCE "
"12. Madamombe ","RDC ","RHC ","Chivi District ","MASVINGO PROVINCE "
"13. Shindi ","RDC ","RHC ","Chivi District ","MASVINGO PROVINCE "
"14. Vuranda ","RDC ","RHC ","Chivi District ","MASVINGO PROVINCE "
"15. Chivi ","Mission ","Clinic ","Chivi District ","MASVINGO PROVINCE "
"1. Gutu ","Govt. ","Rural Hosp. ","Gutu District ","MASVINGO PROVINCE "
"2. Gutu ","Mission ","Rural Hosp. ","Gutu District ","MASVINGO PROVINCE "
"3. Chinyika ","Govt. ","Rural Hosp. ","Gutu District ","MASVINGO PROVINCE "
"4. Cheshuro ","RDc ","RHC ","Gutu District ","MASVINGO PROVINCE "
"5. Chitando ","Govt. ","Rural hsop. ","Gutu District ","MASVINGO PROVINCE "
"6. Chiwore ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"7. Denhere ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"8. Dewure ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"9. Magombedze ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"10. Chitsa ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"11. Majada ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"12. Matizha ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"13. Mazuru ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"14. Chimombe ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"15. Mukaro ","Mission ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"16. Munyikwa ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"17. Mushaviri ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"18. Mutema ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"19. Mutero ","Mission ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"20. Nemashakwe ","RDc ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"21. Nyazvidzi ","RDC ","RHC ","Gutu District ","MASVINGO PROVINCE "
"22. Serima ","Mission ","clinic ","Gutu District ","MASVINGO PROVINCE "
"23. Soli Source ","Govt. ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"24. Tirizi ","RDc ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"25. Zinhata ","RDC ","Clinic ","Gutu District ","MASVINGO PROVINCE "
"26. Zvavahera ","Govt. ","RHC ","Gutu District ","MASVINGO PROVINCE "
"1. Masvingo ","Govt. ","Provincial hosp. ","Masvingo District ","MASVINGO PROVINCE "
"2. Nyajena ","Govt. ","Rural hosp. ","Masvingo District ","MASVINGO PROVINCE "
"3. Morgenister ","Mission ","Designated Dist. Hosp. ","Masvingo District ","MASVINGO PROVINCE "
"4. Gurajena ","Govt. ","Rural hosp. ","Masvingo District ","MASVINGO PROVINCE "
"5. Gokomere ","Mission ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"6. Gathsmine ","Mine ","Pvt. Hosp. ","Masvingo District ","MASVINGO PROVINCE "
"7. Alvord ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"8. Mukosi ","Govt.  ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"9. Mushandike ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"10. Musvosvi ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"11. Mutimurefu ","Govt. ","clinic ","Masvingo District ","MASVINGO PROVINCE "
"12. Nemamwa ","Govt. ","RHC ","Masvingo District ","MASVINGO PROVINCE "
"13. Nyikavanhu ","Govt. ","RHc ","Masvingo District ","MASVINGO PROVINCE "
"14. ZRP ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"15. 41 Brigade ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"16. Masvingo Teachers ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"17. Masvingo Tech. ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"18. Summerton ","Govt. ","RHC ","Masvingo District ","MASVINGO PROVINCE "
"19. Charumbira ","RDC ","RHC ","Masvingo District ","MASVINGO PROVINCE "
"20. Chatikobo ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"21. Gundura ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"22. Mapanzure ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"23. Bere ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"24. Murinye ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"25. Rukowo ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"26. Shumba ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"27. Zimuti BC ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"28. Mucheke ","Municipality ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"29. Zano ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"30. Guwa  ","RDc ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"31. Renco ","Mine ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"32. Lennox ","Mine ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"33. Makurira ","Pvt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"34. Rujeko ","Municipality ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"35. Runyararo ","Municipality ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"36. Bondolfi ","Mission ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"37. Shonganiso ","Mission ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"38. Zimuto ","Mission ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"39. Stanmore ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"40. Shashe ","RDC ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"41. Masvingo Prison ","Govt. ","Clinic ","Masvingo District ","MASVINGO PROVINCE "
"1. Neshuro ","Govt. ","District hosp. ","Mwenezi District.  ","MASVINGO PROVINCE "
"2. Matibi ","Mission ","Rural hosp. ","Mwenezi District.  ","MASVINGO PROVINCE "
"3. Chimbudzi ","Govt. ","RHC ","Mwenezi District.  ","MASVINGO PROVINCE "
"4. Chirindi ","Govt. ","RHC ","Mwenezi District.  ","MASVINGO PROVINCE "
